id,scene,caption
21412,Bathroom,Hand rub white black icon short sleeve
21413,Bathroom,Hand rub camouflage color short sleeves
21414,Bathroom,Hand rub blue and yellow short sleeves
21415,Bathroom,Hand rub grey shorts
21416,Bathroom,Hand rub black shorts
21417,Bathroom,Hand rub plaid shorts
21418,Bathroom,Hand rub tan plaid shirt
21419,Bathroom,Hand rub blue and white plaid shirt
21420,Bathroom,Hand rub green and black patterned shirt
21421,Bathroom,Hand rub black and white icon pants
21422,Bathroom,Hand rub red pants
21423,Bathroom,Rub your hands into plain black pants
21424,Bathroom,Hand rub dirt yellow and white dot patterned skirt
21425,Bathroom,Hand rub the dark green dress
21426,Bathroom,Rub your hands into the sky blue dress
21427,Bathroom,Hand rub gray plaid socks
21428,Bathroom,Rub hands into black plaid socks
21429,Bathroom,Hand rub blue and yellow patterned socks
21430,Bathroom,Hand rub blue scarf
21431,Bathroom,Rub the purple scarf with your hands
21432,Bathroom,Rub the orange scarf with your hands
21433,Bathroom,Hand rub denim powder icon hat
21434,Bathroom,Hand rub the black hat
21435,Bathroom,Rub the purple hat with your hands
21436,Bathroom,Hand rub grey gloves
21437,Bathroom,Rub your hands into white gloves
21438,Bathroom,Hand rub white gloves with red border
21439,Bathroom,Hand rub gray striped sheet
21440,Bathroom,Hand rub plaid pattern sheets
21441,Bathroom,Hand rub green plaid sheets
21442,Bathroom,Hand rub the blue blanket
21443,Bathroom,Hand rub off-white patterned blanket
21444,Bathroom,Hand rub grey blue vermicelli blanket
21445,Bathroom,Hand rub sky blue pillowcase
21446,Bathroom,Rub purple pillowcase with your hands
21447,Bathroom,Hand rub grey plaid pillowcase
21448,Bathroom,Hand rub white pillow cover with blue edge
21449,Bathroom,Hand rub brown pillow cover
21450,Bathroom,Rub the auburne-plaid border pillow cover with your hands
55670,Office,Unscrew the glass bottle
55671,Office,Unscrew the glass bottle
55672,Office,Unscrew the glass bottle
55673,Office,Tighten the glass bottle
55674,Office,Tighten the glass bottle
55675,Office,Tighten the glass bottle
55676,Office,Unscrew the can
55677,Office,Unscrew the can
55678,Office,Unscrew the can
55679,Office,Tighten the can
55680,Office,Tighten the can
55681,Office,Tighten the can
55682,Office,Unscrew the laundry detergent bottle
55683,Office,Unscrew the laundry detergent bottle
55684,Office,Unscrew the laundry detergent bottle
55685,Office,Tighten the laundry detergent bottle
55686,Office,Tighten the laundry detergent bottle
55687,Office,Tighten the laundry detergent bottle
55688,Office,Unscrew the foundation bottle
55689,Office,Unscrew the foundation bottle
55690,Office,Unscrew the foundation bottle
55691,Office,Tighten the foundation bottle
55692,Office,Tighten the foundation bottle
55693,Office,Tighten the foundation bottle
55694,Office,Unscrew the concealer
55695,Office,Unscrew the concealer
55696,Office,Unscrew the concealer
55697,Office,Tighten the concealer
55698,Office,Tighten the concealer
55699,Office,Tighten the concealer
55700,Office,Twist open red
55701,Office,Twist open red
55702,Office,Twist open red
55703,Office,Tighten the lipstick
55704,Office,Tighten the lipstick
55705,Office,Tighten the lipstick
55706,Office,Unscrew the face cream
55707,Office,Unscrew the face cream
55708,Office,Unscrew the face cream
55709,Office,Tighten the face cream
55710,Office,Tighten the face cream
55711,Office,Tighten the face cream
55712,Office,Unscrew the moisturizing spray
55713,Office,Unscrew the moisturizing spray
55714,Office,Unscrew the moisturizing spray
55715,Office,Tighten the moisturizing spray
55716,Office,Tighten the moisturizing spray
55717,Office,Tighten the moisturizing spray
55718,Office,Unscrew the facial cleanser
55719,Office,Unscrew the facial cleanser
55720,Office,Unscrew the facial cleanser
55721,Office,Tighten the facial cleanser
55722,Office,Tighten the facial cleanser
55723,Office,Tighten the facial cleanser
55736,Office,Unscrew the toothpaste cap
55737,Office,Unscrew the toothpaste cap
55738,Office,Unscrew the toothpaste cap
55739,Office,Tighten the toothpaste cap
55740,Office,Tighten the toothpaste cap
55741,Office,Tighten the toothpaste cap
55802,Office,Vertical folding socks
55803,Office,Vertical folding socks
55804,Office,Vertical folding socks
55805,Office,Side-folding socks
55806,Office,Side-folding socks
55807,Office,Side-folding socks
55808,Office,Unfold the socks
55809,Office,Unfold the socks
55810,Office,Unfold the socks
55847,Office,Fold the paper shopping bag vertically
55848,Office,Fold the paper shopping bag vertically
55849,Office,Fold the paper shopping bag vertically
55850,Office,Paper shopping bag folded horizontally
55851,Office,Paper shopping bag folded horizontally
55852,Office,Paper shopping bag folded horizontally
55853,Office,Unfold the paper shopping bag
55854,Office,Unfold the paper shopping bag
55855,Office,Unfold the paper shopping bag
55856,Office,Vertical folding tissues
55857,Office,Vertical folding tissues
55858,Office,Vertical folding tissues
55859,Office,Horizontal folding tissues
55860,Office,Horizontal folding tissues
55861,Office,Horizontal folding tissues
55862,Office,Unfold the tissue
55863,Office,Unfold the tissue
55864,Office,Unfold the tissue
55865,Office,Vertical folding envelope
55866,Office,Vertical folding envelope
55867,Office,Vertical folding envelope
55868,Office,Horizontal folding envelope
55869,Office,Horizontal folding envelope
55870,Office,Horizontal folding envelope
55871,Office,Unfold the envelope
55872,Office,Unfold the envelope
55873,Office,Unfold the envelope
55883,Office,Wring out the rag
55884,Office,Wring out the rag
55885,Office,Wring out the rag
55892,Office,Wring out socks
55893,Office,Wring out socks
55894,Office,Wring out socks
55907,Office,Wring out the gloves
55908,Office,Wring out the gloves
55909,Office,Wring out the gloves
55919,Office,Open the envelope with a knife
55920,Office,Open the envelope with a knife
55921,Office,Open the envelope with a knife
55922,Office,Tear open the envelope
55923,Office,Tear open the envelope
55924,Office,Tear open the envelope
55925,Office,Cut open the envelope
55926,Office,Cut open the envelope
55927,Office,Cut open the envelope
55934,Office,Tear off the tape
55935,Office,Tear off the tape
55936,Office,Tear off the tape
55937,Office,Cut open the tape
55938,Office,Cut open the tape
55939,Office,Cut open the tape
55940,Office,Tear off the stickers
55941,Office,Tear off the stickers
55942,Office,Tear off the stickers
55943,Office,Cut the sticker open
55944,Office,Cut the sticker open
55945,Office,Cut the sticker open
55952,Office,Tear open the paper shopping bag
55953,Office,Tear open the paper shopping bag
55954,Office,Tear open the paper shopping bag
55955,Office,Cut open the paper shopping bag
55956,Office,Cut open the paper shopping bag
55957,Office,Cut open the paper shopping bag
55958,Office,Tear open the tissues
55959,Office,Tear open the tissues
55960,Office,Tear open the tissues
55961,Office,Cut open the tissue
55962,Office,Cut open the tissue
55963,Office,Cut open the tissue
55976,Office,Tear open the cling film
55977,Office,Tear open the cling film
55978,Office,Tear open the cling film
55979,Office,Cut open the cling film
55980,Office,Cut open the cling film
55981,Office,Cut open the cling film
55982,Office,Tear open the newspaper
55983,Office,Tear open the newspaper
55984,Office,Tear open the newspaper
55985,Office,Cut open the newspaper
55986,Office,Cut open the newspaper
55987,Office,Cut open the newspaper
55988,Office,Tear the postcard apart
55989,Office,Tear the postcard apart
55990,Office,Tear the postcard apart
55991,Office,Cut open the postcard
55992,Office,Cut open the postcard
55993,Office,Cut open the postcard
55994,Office,Tear open the gum pack
55995,Office,Tear open the gum pack
55996,Office,Tear open the gum pack
55997,Office,Cut open the gum pack
55998,Office,Cut open the gum pack
55999,Office,Cut open the gum pack
56000,Office,Tear open the band-aid wrapper
56001,Office,Tear open the band-aid wrapper
56002,Office,Tear open the band-aid wrapper
56003,Office,Cut open the band-aid package
56004,Office,Cut open the band-aid package
56005,Office,Cut open the band-aid package
56006,Office,"Hold the ends of the rag with both hands, stretch it out and wipe the table surface from left to right"
56007,Office,"Hold the ends of the rag with both hands, stretch it out and wipe the table surface from left to right"
56008,Office,"Hold the ends of the rag with both hands, stretch it out and wipe the table surface from left to right"
56012,Office,Hold the photo frame with one hand and wipe the glass surface carefully with the cloth with the other
56013,Office,Hold the photo frame with one hand and wipe the glass surface carefully with the cloth with the other
56014,Office,Hold the photo frame with one hand and wipe the glass surface carefully with the cloth with the other
56042,Office,Hold the glass bottle with one hand and clean the inner wall of the bottle with a bottle brush with the other hand
56043,Office,Hold the glass bottle with one hand and clean the inner wall of the bottle with a bottle brush with the other hand
56044,Office,Hold the glass bottle with one hand and clean the inner wall of the bottle with a bottle brush with the other hand
56048,Office,Hold the ends of the cloth with both hands and wipe the mirror surface forcefully from side to side
56049,Office,Hold the ends of the cloth with both hands and wipe the mirror surface forcefully from side to side
56050,Office,Hold the ends of the cloth with both hands and wipe the mirror surface forcefully from side to side
56123,Office,Hold the paper with one hand and carefully erase the pencil marks with the eraser with the other
56124,Office,Hold the paper with one hand and carefully erase the pencil marks with the eraser with the other
56125,Office,Hold the paper with one hand and carefully erase the pencil marks with the eraser with the other
56138,Office,Hold the book with one hand and quickly turn the pages to read with the other
56139,Office,Hold the book with one hand and quickly turn the pages to read with the other
56140,Office,Hold the book with one hand and quickly turn the pages to read with the other
56159,Office,Hold the tomato with one hand and slice it with a knife with the other
56160,Office,Hold the tomato with one hand and slice it with a knife with the other
56161,Office,Hold the tomato with one hand and slice it with a knife with the other
56162,Office,Hold the potato with one hand and slice it with a knife with the other
56163,Office,Hold the potato with one hand and slice it with a knife with the other
56164,Office,Hold the potato with one hand and slice it with a knife with the other
56165,Office,Hold the garlic with one hand and slice it with a knife with the other
56166,Office,Hold the garlic with one hand and slice it with a knife with the other
56167,Office,Hold the garlic with one hand and slice it with a knife with the other
56168,Office,Hold the scallions with one hand and slice them with a knife with the other
56169,Office,Hold the scallions with one hand and slice them with a knife with the other
56170,Office,Hold the scallions with one hand and slice them with a knife with the other
56171,Office,Hold the glass with one hand and pour the water from the kettle with the other
56172,Office,Hold the glass with one hand and pour the water from the kettle with the other
56173,Office,Hold the glass with one hand and pour the water from the kettle with the other
56174,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56175,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56176,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56177,Office,Hold the glass with one hand and pour the water from the kettle with the other
56178,Office,Hold the glass with one hand and pour the water from the kettle with the other
56179,Office,Hold the glass with one hand and pour the water from the kettle with the other
56180,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56181,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56182,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56183,Office,Hold the glass with one hand and pour the water from the kettle with the other
56184,Office,Hold the glass with one hand and pour the water from the kettle with the other
56185,Office,Hold the glass with one hand and pour the water from the kettle with the other
56186,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56187,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56188,Office,Hold the glass with one hand and pour the water from the drink bottle with the other
56189,Office,Hold the kettle with one hand and pour the water from the glass with the other
56190,Office,Hold the kettle with one hand and pour the water from the glass with the other
56191,Office,Hold the kettle with one hand and pour the water from the glass with the other
56192,Office,Hold the kettle with one hand and pour the water from the kettle with the other
56193,Office,Hold the kettle with one hand and pour the water from the kettle with the other
56194,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56195,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56196,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56197,Office,Hold the kettle with one hand and pour the water from the glass with the other
56198,Office,Hold the kettle with one hand and pour the water from the glass with the other
56199,Office,Hold the kettle with one hand and pour the water from the glass with the other
56200,Office,Hold the kettle with one hand and pour the water from the kettle with the other
56201,Office,Hold the kettle with one hand and pour the water from the kettle with the other
56202,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56203,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56204,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56205,Office,Hold the kettle with one hand and pour the water from the glass with the other
56206,Office,Hold the kettle with one hand and pour the water from the glass with the other
56207,Office,Hold the kettle with one hand and pour the water from the glass with the other
56208,Office,Hold the kettle with one hand and pour the water from the kettle with the other
56209,Office,Hold the kettle with one hand and pour the water from the kettle with the other
56210,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56211,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56212,Office,Hold the kettle with one hand and pour the water from the drink bottle with the other
56213,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56214,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56215,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56216,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56217,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56218,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56219,Office,Hold the drink bottle with one hand and pour the water from the bottle with the other hand
56220,Office,Hold the drink bottle with one hand and pour the water from the bottle with the other hand
56221,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56222,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56223,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56224,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56225,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56226,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56227,Office,Hold the drink bottle with one hand and pour the water from the bottle with the other hand
56228,Office,Hold the drink bottle with one hand and pour the water from the bottle with the other hand
56229,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56230,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56231,Office,Hold the drink bottle with one hand and pour the water from the glass with the other
56232,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56233,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56234,Office,Hold the drink bottle with one hand and pour the water from the kettle with the other
56235,Office,Hold the drink bottle with one hand and pour the water from the bottle with the other hand
56236,Office,Hold the drink bottle with one hand and pour the water from the bottle with the other hand
56237,Office,Hold the tomato with one hand and peel it with a peeler with the other
56238,Office,Hold the tomato with one hand and peel it with a peeler with the other
56239,Office,Hold the tomato with one hand and peel it with a peeler with the other
56240,Office,Hold the tomato with one hand and peel it with a peeler with the other
56241,Office,Hold the tomato with one hand and peel it with a peeler with the other
56242,Office,Hold the tomato with one hand and peel it with a peeler with the other
56243,Office,Hold the tomato with one hand and peel it with a peeler with the other
56244,Office,Hold the tomato with one hand and peel it with a peeler with the other
56245,Office,Hold the tomato with one hand and peel it with a peeler with the other
56246,Office,Hold the potato with one hand and peel it with the peeler with the other
56247,Office,Hold the potato with one hand and peel it with the peeler with the other
56248,Office,Hold the potato with one hand and peel it with the peeler with the other
56249,Office,Hold the potato with one hand and peel it with the peeler with the other
56250,Office,Hold the potato with one hand and peel it with the peeler with the other
56251,Office,Hold the potato with one hand and peel it with the peeler with the other
56252,Office,Hold the potato with one hand and peel it with the peeler with the other
56253,Office,Hold the potato with one hand and peel it with the peeler with the other
56254,Office,Hold the potato with one hand and peel it with the peeler with the other
56255,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56256,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56257,Office,Hold the cucumber with one hand and peel it with the peeler with the other
